lat,lon,ways,tags
1.26792,103.82436,"[176204635, 749321776, 862930913]","[{'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'service': 'parking_aisle', 'sidewalk': 'right', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through', 'turn:lanes:forward': 'left;right'}, {'footway': 'sidewalk', 'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}, {'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'service': 'parking_aisle', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through', 'turn:lanes:forward': 'left;right'}]"
1.2679,103.82436,"[176204635, 749321776, 862930913]","[{'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'service': 'parking_aisle', 'sidewalk': 'right', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through', 'turn:lanes:forward': 'left;right'}, {'footway': 'sidewalk', 'highway': 'footway', 'image': 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg', 'smoothness': 'excellent', 'survey:date': '2018-06-25'}, {'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'service': 'parking_aisle', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through', 'turn:lanes:forward': 'left;right'}]"
1.26788,103.82429,"[22674908, 668576676, 862930913, 862933062]","[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}, {'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt', 'turn:lanes:backward': 'through', 'turn:lanes:forward': 'left;right'}, {'highway': 'service', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'service': 'parking_aisle', 'surface': 'asphalt', 'turn:lanes:backward': 'left;through', 'turn:lanes:forward': 'left;right'}, {'highway': 'footway', 'incline': 'up', 'surface': 'concrete'}]"
1.2678,103.82424,[22674908],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}]"
1.26777,103.82419,[22674908],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}]"
1.26776,103.824,[22674908],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}]"
1.26776,103.82385,[22674908],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}]"
1.2677,103.82349,[22674908],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}]"
1.26771,103.82332,[22674908],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}]"
1.26775,103.82318,[22674908],"[{'3dr:type': 'Mount Faber Road', 'highway': 'residential', 'lanes': '1', 'maxheight': '4', 'maxspeed': '40', 'name': 'Mount Faber Road', 'name:zh': '花柏山路', 'oneway': 'yes', 'smoothness': 'excellent', 'source': 'GPS & Yahoo aerial images', 'surface': 'asphalt'}]"
