Tag,Count
"('addr:postcode', '138677')",4
"('name', 'Festive Walk')",4
"('note', 'Between Tanjong Pagar & Woodlands. Closed 1 July 2011, track removed by Sept 2011')",4
"('name:zh', '洛克路')",4
"('name', 'Telok Blangah Street 31')",4
"('name', 'Holland Grove Lane')",4
"('note', 'are the name tags rly needed?')",4
"('name:zh', '肯特岗巴士终站')",4
"('name', 'Kent Ridge Terminal')",4
"('name:zh', '启奥大道')",4
"('name:zh', '工程1通道')",4
"('name:zh', '杜佛地铁站B号出口')",4
"('name', 'Dover Station Exit B')",4
"('name', 'Engineering Drive 1')",4
"('building', 'transportation')",4
"('maxspeed', '30')",4
"('turn:lanes', 'left;through|through|right')",4
"('service', 'emergency_access')",4
"('name', 'Fusionopolis Way')",4
"('name', 'Lock Road')",4
"('covered', 'no')",4
"('name', ""CP 'A'"")",4
"('name:zh', '节庆大道')",4
"('roof:levels', '0')",4
"('name', 'College Avenue West')",4
"('name:zh', '学院西道')",4
"('addr:housenumber', '200')",4
"('turn:lanes', 'through|through|through|through')",4
"('building', 'train_station')",4
"('lane_markings', 'no')",4
"('parking:condition:left:vehicles', 'motorcar')",3
"('turn:lanes', 'none|through')",3
"('name', 'Biopolis Drive')",3
"('name:zh', '中央图书馆广场')",3
"('step_count', '93')",3
"('turn:lanes', 'left;through|none')",3
"('name', 'College Link way')",3
"('name:zh', '大学联通道')",3
"('turn:lanes', 'left|none|none|none|none')",3
"('short_name', 'CLB Plaza')",3
"('source:width', 'ARCore')",3
"('name', 'Central Library Plaza')",3
"('parking:lane:left', 'parallel')",3
"('surface', 'sand')",3
"('turn:lanes:forward', 'left|right')",3
"('image', 'https://images.mapillary.com/nkYWIMAV8-RuMuN7YnAnMw/thumb-2048.jpg')",3
"('turn:lanes', 'left;through|through|through|right')",3
"('addr:housenumber', '18')",3
"('image', 'https://images.mapillary.com/ypqKAL4eBaoWSC9t5sjUKA/thumb-2048.jpg')",3
"('bridge', 'viaduct')",3
"('name:zh', '杜佛路')",3
"('cycleway', 'no')",3
"('lanes:backward', '2')",3
"('turn:lanes', 'none|none|none|right')",3
"('name', 'Dover Road')",3
"('addr:housenumber', '20')",3
"('mapillary', '841074699826591')",3
"('surface', 'metal')",3
"('turn:lanes:forward', 'left;through;right')",3
"('name', 'Holland Grove View')",3
"('turn:lanes', 'left|left|left')",3
"('image', 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_4bf47_2215.jpg')",3
"('mapillary', '323434975840734')",3
"('turn:lanes', 'left|through|through')",2
"('name', 'Alexandra Terrace')",2
"('name', 'West Coast Highway')",2
"('sidewalk', 'none')",2
"('name', 'Car Park A')",2
"('traffic_calming', 'table')",2
"('tactile_paving', 'yes')",2
"('turn:lanes', 'left;through|through|right|right|right')",2
"('name:zh', '亚历山大台')",2
"('roof:shape', 'pyramidal')",2
"('roof:colour', '#a4a69e')",2
"('name:zh', '英比奥径')",2
"('turn:lanes', 'left;through|through|slight_left;slight_right')",2
"('name:zh', '文学连路')",2
"('turn:lanes', 'left|slight_left;slight_right|right')",2
"('mapillary', '283542369911789')",2
"('image', 'https://images.mapillary.com/3aJ0c0HZXp4ZSwQo_wExzg/thumb-2048.jpg')",2
"('step_count', '15')",2
"('name', 'Imbiah Walk')",2
"('turn:lanes', 'through|through|through|right|right')",2
"('name', ""Carpark 'D'"")",2
"('name', 'Arts Link')",2
"('name:zh', '停车场D')",2
"('source', 'bing')",2
"('mapillary', '341628330825137')",2
"('survey:date', '2017-01-17')",2
"('fixme', 'check position')",2
"('maxheight', 'default')",2
"('name', 'Link Gate 7 to T19')",2
"('name', 'Jalan Siantan')",2
"('name:zh', '科学2通道')",2
"('name', 'Science Drive 2')",2
"('turn:lanes:backward', 'left|through|right')",2
"('man_made', 'bridge')",2
"('name', 'Holland Plain')",2
"('name:zh', '体育2通道')",2
"('highway', 'tertiary_link')",2
"('name', 'Blackmore Drive')",2
"('image', 'https://images.mapillary.com/666rlHbGqWLUjlaBJlAfWA/thumb-2048.jpg')",2
"('mapillary', '312465913787497')",2
"('name', 'Sports Drive 2')",2
"('alt_name', 'Sports Drive')",2
"('destination:street', 'Clementi Road')",2
"('highway', 'trunk_link')",2
"('name', 'Multi-story Car Park')",2
"('note', 'Part of it estimated ???')",2
"('name:zh', '联邦西道')",2
"('name', 'Mount Sinai Crescent')",2
"('building', 'toilets')",2
"('name', 'Commonwealth Avenue West')",2
"('sidewalk:both', 'separate')",2
"('amenity', 'toilets')",2
"('width', '2')",2
"('incline', 'up/down')",2
"('name:zh', '乌鲁班丹公园连道')",2
"('name', 'Carpark 10 (Season)')",2
"('name', 'Namly Drive')",2
"('name', 'Ulu Pandan Park Connector')",2
"('name:zh', '建筑通道')",2
"('name', 'Epicentre')",2
"('name', 'Architecture Drive')",2
"('name', 'Kampong Bahru Road')",2
"('name:zh', '10号停车场(季票)')",2
"('name', 'Rail Corridor Access')",2
"('layer', '-2')",2
"('name', 'Engineering Drive 3')",2
"('name:zh', '甘榜峇鲁路')",2
"('surface', 'gravel')",2
"('landuse', 'recreation_ground')",2
"('leisure', 'garden')",2
"('crossing', 'unmarked')",2
"('name', 'Vista Exchange Green')",2
"('name:zh', '工程3通道')",2
"('turn:lanes', 'left;through|through|right|right')",2
"('name', 'Jalan Jelita')",2
