Tag,Count
"('name:zh', '汤申路')",15
"('name', 'Thomson Road')",15
"('highway', 'construction')",15
"('turn:lanes:backward', 'right')",14
"('turn:lanes', 'right|right|right')",14
"('name', 'Kallang Road')",14
"('name:zh', '加冷路')",14
"('highway', 'path')",14
"('oneway', 'no')",14
"('name:zh', '乌鲁班丹公园连道')",14
"('name', 'Ulu Pandan Park Connector')",14
"('lanes:bus:conditional', '2 @ (Mo-Sa 07:30-23:00)')",14
"('highway', 'tertiary_link')",13
"('turn:lanes', 'left;through|none')",13
"('leisure', 'track')",13
"('sport', 'running')",13
"('turn:lanes', 'left;right')",13
"('name', 'Mas Kuning Terrace')",13
"('name', 'Tampines Avenue 5')",13
"('name:zh', '淡滨尼5道')",13
"('name', 'Yishun Avenue 8')",13
"('name', 'Petir Road')",13
"('landuse', 'grass')",13
"('leisure', 'park_connector')",13
"('name:zh', '义顺8道')",13
"('turn:lanes', 'left;through|through|through;right|right')",13
"('alt_name', 'Punggol Central')",12
"('name:zh', '蔡厝港路')",12
"('turn:lanes', 'left|left|right|right')",12
"('name', 'Upper East Coast Road')",12
"('footway:surface', 'concrete')",12
"('name', 'Choa Chu Kang Road')",12
"('name:zh', '禧街')",12
"('turn:lanes', 'left;through')",12
"('name:zh', '坎贝拉-三巴旺公园连道')",12
"('cycleway:surface', 'concrete')",12
"('check_date:surface', '2023-09-09')",12
"('name', 'Bukit Batok Road')",12
"('name:zh', '武吉巴督路')",12
"('lanes:bus:conditional', '2 @ (Mo-Fr 07:30-09:30,17:00-20:00)')",12
"('name', 'Canberra-Sembawang Park Connector')",12
"('name', 'Choa Chu Kang Park Connector')",12
"('name:zh', '蔡厝港公园连道')",12
"('man_made', 'bridge')",12
"('name', 'Choa Chu Kang Avenue 3')",12
"('loc_name:zh', '水仙门')",12
"('name', 'Hill Street')",12
"('building', 'yes')",11
"('name', 'Admiralty West Park Connector')",11
"('turn:lanes', 'none|through|through')",11
"('name:zh', '海军部西公园连道')",11
"('turn:lanes', 'left|through|right')",11
"('name:zh', '勿洛南1道')",11
"('area', 'no')",11
"('name:zh-Hant', '海軍部西路')",11
"('turn:lanes', 'left|through|through|through;right|right')",11
"('name', 'Bedok South Avenue 1')",11
"('cycleway', 'crossing')",11
"('name:zh-Hans', '海军部西路')",11
"('turn:lanes', 'none|none|right')",11
"('name:en', 'Admiralty Road West')",11
"('name', 'Jurong East Central')",10
"('name:zh', '巴西立12通道')",10
"('turn:lanes', 'through|through|through|through;right|right')",10
"('name:zh', '惹兰文礼')",10
"('turn:lanes', 'none|none|none|right')",10
"('note', 'Part of route estimated ???')",10
"('parking:condition:left:vehicles', 'hgv')",10
"('turn:lanes', 'none|through')",10
"('addr:country', 'SG')",10
"('name', 'Rochdale Road')",10
"('name', 'Jalan Boon Lay')",10
"('turn:lanes', 'left|right')",10
"('name', 'Hougang Avenue 10')",10
"('name', 'Pasir Ris Drive 12')",10
"('name:pl', 'molo Woodlands')",10
"('name:zh', '巴耶利峇路')",10
"('turn:lanes', 'through;right')",10
"('name', 'Sunset Lane')",10
"('smoothness', 'intermediate')",10
"('name', 'Jalan Besar')",10
"('name:zh', '惹兰勿刹')",10
"('name', 'Woodlands Jetty')",10
"('name:en', 'Woodlands Jetty')",10
"('name:ms', 'jeti Woodlands')",10
"('name', 'Paya Lebar Road')",10
"('name', 'Henderson Park Connector')",9
"('name', 'Woodlands (Ave 2) Park Connector')",9
"('name:zh', '亨德申公园连道')",9
"('tactile_paving', 'no')",9
"('name', 'Telok Blangah Road')",9
"('cycleway:left', 'no')",9
"('name:zh', '直落布兰雅路')",9
"('temporary:access', 'no')",9
"('source', 'survey')",9
"('note', 'Long-term temporary closure of the footpath for construction works of adjacent future MRT station.')",9
"('name', 'Upper Bukit Timah Road')",9
"('note', 'provisional data, needs checking')",9
"('bicycle', 'no')",9
"('name:zh', '兀兰2道公园连道')",9
"('turn:lanes', 'left|left;through|through|through')",9
"('access', 'permissive')",9
"('maxspeed', '30')",9
"('name:zh', '维多利亚街')",9
"('turn:lanes', 'left;right|right')",9
"('name', 'Victoria Street')",9
"('turn:lanes', 'left;through|through|through|right|right')",8
"('name:zh', '阿裕尼路')",8
"('name', 'Jurong East Street 31')",8
"('tunnel', 'yes')",8
"('name', 'Hume Avenue')",8
"('name', 'Orchard Promenade')",8
"('name', 'Jurong West Street 51')",8
"('tactile_paving', 'yes')",8
"('name:zh', '乌节宝龙坊')",8
"('man_made', 'pier')",8
"('destination:ref', 'TPE')",8
"('turn:lanes', 'none|none|none|none|right')",8
"('turn:lanes', 'through|through|through|through;right')",8
"('name', 'Aljunied Road')",8
"('name:zh', '余东旋街')",8
"('name', 'Lornie Road')",8
"('name:zh', '兀兰2道')",8
"('name', 'Woodlands Avenue 2')",8
"('turn:lanes', 'through|through|through|through|right|right')",8
"('name', 'Old Airport Road')",8
"('name', 'Jurong West Avenue 3')",8
"('parking', 'street_side')",7
"('name:en', 'Choa Chu Kang Way')",7
"('button_operated', 'yes')",7
"('crossing:markings', 'dots')",7
"('name', 'Pasir Ris Street 51')",7
"('turn:lanes', 'left;through|through|right|right')",7
"('name', 'Yishun Avenue 7')",7
"('turn:lanes', 'left|none|none|none')",7
"('turn:lanes', 'left;through|none|none')",7
"('foot', 'permissive')",7
"('name:zh', '义顺7道')",7
"('sidewalk:both', 'separate')",7
"('width', '3')",7
"('turn:lanes', 'right')",7
"('name', 'Canberra Way')",7
"('name:zh', '武吉知马路上段')",7
"('turn:lanes', 'left;through;right')",7
"('name', 'Toh Tuck Crescent')",6
"('name', 'Loyang Park Connector')",6
"('name', 'Bencoolen Link')",6
"('parking:condition:left:vehicles', 'motorcar')",6
"('layer', '-1')",6
"('turn:lanes', 'left|left;right')",6
"('name:zh', '罗央公园连道')",6
"('name', 'Khatib Bongsu Park Connector')",6
"('name', 'Mandai Park Connector')",6
"('name:zh', '万礼公园连道')",6
"('source', 'Yahoo aerial images, Bing')",6
"('turn:lanes:backward', 'left;through;right')",6
"('name', 'Telok Blangah Way')",6
"('turn:lanes', 'left|left|through|through|through|through')",6
"('name', 'Yishun Avenue 4')",6
"('destination', 'Pasir Ris Drive 1')",6
"('turn:lanes', 'through|through|through;right|right|right')",6
"('name', 'CPN')",6
"('name:zh', '卡迪蒙苏公园连道')",6
"('name', 'Lentor Drive')",6
"('turn:lanes', 'left|left|through|through|through')",6
"('name', 'Jurong East Street 24')",6
"('traffic_signals:arrow', 'yes')",6
"('name', 'Cactus Road')",6
"('name:en', 'Kheam Hock Road')",6
"('name:zh', '基里玛路')",6
"('leisure', 'garden')",6
"('lit', 'no')",6
"('turn:lanes', 'left;through|through;right|right')",6
"('name', 'Bedok Reservoir Road')",6
"('name', 'Paved Function Area')",6
"('note', 'Part of road is under construction ???')",6
"('construction', 'footway')",6
"('name', 'Ayer Rajah Expressway')",6
"('ramp:bicycle', 'yes')",6
"('maxspeed:type', 'sign')",6
"('name', 'Tampines Street 91')",6
"('name', 'Margaret Drive')",6
"('name', 'Newton Circus')",6
"('lane_markings', 'no')",6
"('name', 'International Business Park')",6
"('destination:ref', 'AYE')",6
"('name', 'Canberra Park Connector')",6
"('name:zh', '坎贝拉公园连道')",6
"('toll', 'yes')",6
"('addr:street', 'Orchard Road')",6
"('crossing:island', 'yes')",6
"('name:zh', '纽顿圈')",6
"('building:levels', '3')",6
"('name', 'Guillemard Road')",6
"('name', 'Ang Mo Kio Avenue 5')",5
"('name:zh', '西海岸公园连道')",5
"('name', 'West Coast Park Connector')",5
"('name', 'Punggol Park Connector')",5
"('width', '1')",5
"('name:zh', '宏茂桥5道')",5
"('name', 'Nanyang Circle')",5
"('destination:ref', 'PIE')",5
"('name', 'Bedok North Avenue 3')",5
"('source', 'Yahoo')",5
"('turn:lanes', 'left|through|through|through|through')",5
"('name', 'Tampines Park Connector')",5
"('name:zh', '淡滨尼公园连道')",5
"('amenity', 'school')",5
"('name', 'Westlake Avenue')",5
"('name', 'Prince Charles Crescent')",5
"('destination', 'Nanyang Avenue;Cleantech View')",5
"('turn:lanes', 'none|through|through|through|through')",5
"('name', 'Cheong Chin Nam Road')",5
"('wikidata', 'Q28404036')",5
"('destination', 'City')",5
"('turn:lanes', 'left|left|right')",5
"('name', 'Punggol Road')",5
"('name', 'Woodlands Waterfront Park')",5
"('name', 'Bukit Panjang Road')",5
"('name:zh', '武吉班让路')",5
"('name:en', 'Woodlands Waterfront Park')",5
"('name:zh', '兀兰水滨公园')",5
"('name:zh-Hans', '兀兰水滨公园')",5
"('construction', 'service')",5
"('name:zh-Hant', '兀蘭水濱公園')",5
"('turn:lanes:forward', 'left|right')",5
"('check_date:surface', '2023-05-20')",5
"('turn:lanes', 'left|through|through;right')",5
"('surface', 'grass')",5
"('turn:lanes:backward', 'through|right')",5
"('name:zh', '义顺公园连道')",5
"('name', 'Yishun Park Connector')",5
"('wikipedia', 'en:Woodlands Waterfront Park')",5
"('name', 'Segar Road')",5
"('handrail', 'no')",5
"('name:zh', '榜鹅公园连道')",5
"('name:en', 'Lornie Road')",4
"('destination', 'Boon Lay Way;Corporation Road;Commonwealth Avenue West')",4
"('name', 'Sime Road')",4
"('parking', 'surface')",4
"('name', 'Tampines Avenue 10')",4
"('natural', 'coastline')",4
"('fee', 'yes')",4
"('name:zh-Hans', '新加坡海岸綫')",4
"('source', 'Bing (DigitalGlobe-2010)')",4
"('name:zh-Hant', '新加坡海岸綫')",4
"('name', 'Jurong West Street 91')",4
"('turn:lanes', 'none|through|through|through')",4
"('name', 'Frankel Avenue')",4
"('ref', '1')",4
"('name', 'Lim Teck Boo Road')",4
"('name', 'Ang Mo Kio Avenue 4')",4
"('name:zh', '杜尼安路')",4
"('railway', 'abandoned')",4
"('name:zh', '铁道走廊')",4
"('name', 'Rail Corridor')",4
"('maxspeed:bicycle:official', '10')",4
"('maxspeed:bicycle:advisory', '10')",4
"('footway', 'yes')",4
"('name', 'Hougang Avenue 6')",4
"('turn:lanes:backward', 'left;through|right')",4
"('name:zh', '兀兰5道公园连道')",4
"('name', 'Woodlands (Ave 5) Park Connector')",4
"('name', 'Island Club Road')",4
"('name', 'Jalan Tua Kong')",4
"('name:en', 'Coastline of Singapore')",4
"('name', 'Jalan Usaha')",4
"('name', 'Siglap Road')",4
"('name', 'Lothian Terrace')",4
"('name:zh', '新加坡海岸綫')",4
"('name:zh', '淡滨尼10道')",4
"('name:zh', '沈氏大道')",4
"('name', 'Sims Way')",4
"('landuse', 'construction')",4
"('traffic_signals:countdown', 'yes')",4
"('name', 'Memorial Garden')",4
"('operator', 'NPark')",4
"('operator:type', 'public')",4
"('turn:lanes', 'through|right|right')",4
"('crossing:markings', 'yes')",4
"('loc_name', '小坡三马路')",4
"('note', 'Estimated location ???')",4
"('name', 'Bencoolen Street')",4
"('turn:lanes', 'left|through|through|through|through|right|right')",4
"('alt_name', 'Bencoolen Link')",4
"('sac_scale', 'hiking')",4
"('building:levels', '4')",4
"('smoking', 'no')",4
"('name:zh', '明古连街')",4
"('destination', 'Tuas')",4
"('name', 'Sembawang Drive')",4
"('garden:type', 'community')",4
"('fee', 'no')",4
"('name', 'Woodlands North Coast Road')",4
"('name:zh', '罗尼路')",4
"('name', 'Coastline of Singapore')",4
"('turn:lanes', 'left|left|through|through|through|through|right')",4
"('name:zh', '加冷公园连道')",4
"('name', 'Kallang Park Connector')",4
"('name', 'Padang Jeringau')",4
"('name', 'MacRitchie Viaduct')",4
"('name', 'Pandan Gardens')",4
"('turn:lanes', 'through|through|through|through|right|right|right')",4
"('name', 'Woodlands Avenue 9')",4
"('name:zh', '里峇峇利路')",4
"('name:en', 'River Valley Road')",4
"('name', 'River Valley Road')",4
"('crossing', 'zebra')",4
"('name', 'Upper Aljunied Road')",4
"('name:zh', '阿裕尼路上段')",4
"('destination:ref', 'CTE')",4
"('turn:lanes', 'left|left;through|through|right|right')",4
"('name', 'Dunearn Road')",4
"('name', 'Punggol Place')",4
"('turn:lanes', 'left|through;right')",4
"('name:zh', '武吉巴督东3道')",4
"('turn:lanes:backward', 'left|right')",4
"('name', 'Bukit Batok East Avenue 3')",4
"('name', 'Toh Tuck Place')",4
"('construction', 'primary')",4
"('turn:lanes', 'left|right|right')",4
"('footway:surface', 'asphalt')",4
"('turn:lanes', 'through;right|right|right')",4
"('name:zh', '榜鹅路')",4
"('name', 'Sengkang East Avenue')",4
"('surface', 'unhewn_cobblestone')",4
"('name', 'Pasir Ris Street 12')",4
"('source_ref', 'for loc_name: https://web.archive.org/web/20221107035902/https://www.nhb.gov.sg/-/media/nhb/images/nhb2017/what-we-do/public-programmes/harmony-walks-map.ashx?la=en')",4
"('name:zh', '实龙岗公园连道')",4
"('name', 'Serangoon Park Connector')",4
"('name', 'Bukit Batok Street 25')",4
"('landuse', 'residential')",4
"('school', 'primary')",3
"('name', 'Kang Ching Road')",3
"('name', 'West Coast Rise')",3
"('embankment', 'yes')",3
"('turn:lanes:forward', 'through|through')",3
"('destination:ref:to', 'CTE;SLE')",3
"('turn:lanes:forward', 'left;through;right')",3
"('name', 'Bukit Merah View')",3
"('name', 'Corporation Drive')",3
"('name:ms', 'Sekolah Rendah Lakeside')",3
"('name:zh', '湖滨小学')",3
"('incline', '0%')",3
"('name', 'Lakeside Primary School')",3
"('name', 'Clementi Avenue 3')",3
