Tag,Count
"('name', 'Siglap Road')",41
"('alt_name', 'Coast-to-Coast Trail')",41
"('name', 'West Coast Park Connector')",40
"('name', 'Windsor Park Road')",40
"('name:zh', '西海岸公园连道')",40
"('addr:city', 'Singapore')",40
"('horse', 'designated')",40
"('name:zh', '丹戒禺宝门廊')",40
"('name', 'Tanjong Rhu Promenade')",40
"('motor_vehicle', 'designated')",40
"('name', 'Alexandra Road')",39
"('name:zh', '亚历山大路')",39
"('leisure', 'park')",38
"('cycleway', 'segregated')",38
"('name:zh', '新邦基里公园连道')",38
"('name', 'Simpang Kiri Park Connector')",38
"('name:zh', '甘巴士道')",37
"('name:zh', '惹兰马士和')",37
"('name', 'Pioneer Road North')",37
"('name', 'Mount Faber Loop')",37
"('name:zh', '花柏山环道')",37
"('name', 'Jalan Mashhor')",37
"('turn:lanes', 'through|through|through;right')",36
"('name:zh', '武吉巴督东公园连道')",36
"('name', 'Telok Blangah Road')",36
"('name:zh', '直落布兰雅路')",36
"('name:zh', '先驱北路')",36
"('name', 'Hindhede Drive')",36
"('name', ""King's Avenue"")",36
"('name', 'Ang Mo Kio Street 13')",36
"('name', 'Bukit Batok East Park Connector')",36
"('name', 'Woodlands Centre Road')",35
"('name', 'Catchment Path')",35
"('highway', 'trunk_link')",35
"('name:zh', '登峰走道')",35
"('name', 'Summit Path')",35
"('name:zh', '研创大道')",34
"('name:zh', '乌鲁三巴旺公园连道')",34
"('name', 'Ulu Sembawang Park Connector')",34
"('name', 'Woodlands Avenue 1')",34
"('name', 'Springleaf PCN')",34
"('name:zh', '春叶公园连道')",34
"('name', 'Create Way')",34
"('name', 'Lorong Sesuai')",34
"('parking', 'surface')",33
"('path', 'sidewalk')",33
"('name', 'Marymount Road')",32
"('note', 'provisional data, needs checking')",32
"('name', 'Admiralty Road East')",32
"('name:zh', '海军部东路')",32
"('turn:lanes', 'left|through|through')",32
"('motorcar', 'no')",32
"('name:zh', '玛利蒙路')",32
"('turn:lanes', 'through|through|through;right|right')",31
"('alt_name:zh', '越岛连道')",31
"('name', 'Lower Delta Road')",31
"('name', 'Kent Ridge Drive')",31
"('name:zh', '肯特岗通道')",31
"('name:zh', '罗弄西素艾')",31
"('name:zh', '立达路下段')",31
"('name:zh', '亚当公园连道')",31
"('width', '7.5')",31
"('name', 'Adam Park Connector')",31
"('name', 'Elias Road')",31
"('name', 'Lorong 6 Toa Payoh')",31
"('name', 'Jalan Mempurong')",30
"('turn:lanes', 'left;right')",30
"('footway:surface', 'asphalt')",30
"('name:zh', '宏茂桥公园连道')",30
"('name', 'Ang Mo Kio Park Connector')",30
"('tunnel', 'yes')",30
"('name', 'Pasir Ris Farmway 3')",30
"('name', 'Leedon Park')",30
"('name:zh', '甘登园')",29
"('turn:lanes', 'left;through|through;right')",29
"('name', 'Upper Serangoon Road')",29
"('bridge', 'boardwalk')",29
"('turn:lanes', 'left|through|through|through')",29
"('name', 'Punggol East')",29
"('name:zh', '实龙岗路上段')",29
"('name', 'Colugo Trail')",29
"('name:zh', 'Nangka 小径')",29
"('name', 'Nangka Trail')",29
"('name:zh', '榜鹅东路')",29
"('crossing', 'traffic_signals')",29
"('name:zh', '罗弄哈鲁士公园连道')",29
"('turn:lanes:backward', 'right')",29
"('name', 'Camden Park')",29
"('name', 'Lorong Halus Park Connector')",29
"('fixme', 'resurvey')",29
"('name', 'Jurong East Avenue 1')",28
"('name:zh', '越岛连道')",28
"('name:zh', '兀兰中心路')",28
"('source', 'Mapbox')",28
"('name', 'Yuan Ching Road')",27
"('turn:lanes:forward', 'left;through;right')",27
"('maxheight', '4')",27
"('cycleway:surface', 'asphalt')",27
"('segregated', 'yes;no')",26
"('name:zh', '园景路')",26
"('name', 'Jalan Kampong Chantek')",26
"('name:zh', '惹兰甘榜彰德')",26
"('turn:lanes', 'left|through|through|through|right')",26
"('maxspeed:type', 'SG:urban')",26
"('stroller', 'yes')",26
"('name', 'Punggol Promenade Punggol Point Walk')",26
"('name', 'Labrador Villa Road')",25
"('name', 'Siglap Park Connector')",25
"('name:zh', '因干纳道')",25
"('name:zh', '马西岭公园连道')",25
"('name', 'Marsiling Park Connector')",25
"('surface', 'gravel')",25
"('name', 'Bukit Panjang Ring Road')",25
"('cycleway:surface', 'paving_stones')",25
"('name', 'Gymkhana Avenue')",25
"('name', 'Coast-to-Coast Trail')",25
"('footway:surface', 'paving_stones')",24
"('name:zh', '武吉知马公园连道')",24
"('width', '5')",24
"('name', 'Bukit Timah Park Connector')",24
"('turn:lanes', 'right|right')",24
"('name', 'Tampines Avenue 1')",24
"('name', 'Wallace Trail')",23
"('turn:lanes', 'left|left')",23
"('name', 'Cross Street')",23
"('name:en', 'Cross Street')",23
"('note', 'Closed until the end of 2018, as per Singapore Land Transport Authority')",23
"('name:zh', '实乞纳公园连道')",23
"('name:zh', '克罗士街')",23
"('turn:lanes', 'right')",23
"('name', 'Pasir Ris Drive 6')",22
"('name', 'Sengkang East Drive')",22
"('name:zh', '盛港东通道')",22
"('bus', 'yes')",22
"('name', 'Ottawa Road')",22
"('access', 'permissive')",22
"('sidewalk:right', 'separate')",22
"('surface', 'grass')",21
"('step_count', '150')",21
"('name', 'Upper Changi Road East')",21
"('turn:lanes:backward', 'left;through;right')",21
"('shoulder', 'no')",21
"('name', 'Bukit Batok West Avenue 5')",21
