Tag,Count
"('name:zh', '亚历山大拱桥')",13
"('name', 'Alexandra Arch')",13
"('source', 'Bing and Survey;Bing')",12
"('name', 'Telok Blangah Road')",12
"('name', 'Harding Road')",12
"('name:zh', '直落布兰雅路')",12
"('name', 'Research Link')",12
"('name', 'Lorong Chuan')",12
"('name', 'Siglap Road')",12
"('name:zh', '研究连路')",12
"('turn:lanes', 'right')",12
"('turn:lanes', 'left;through|through|through|right')",12
"('turn:lanes:forward', 'left;through;right')",11
"('name', 'Bedok South Road')",11
"('turn:lanes', 'through|through|through|through|right|right')",11
"('layer', '-1')",11
"('name', 'Yio Chu Kang Link')",11
"('parking:both', 'no')",11
"('name', 'Clementi Road')",11
"('width', '1')",11
"('highway', 'living_street')",11
"('leisure', 'track')",11
"('name:zh', '金文泰路')",11
"('turn:lanes', 'right|right|right')",11
"('parking', 'surface')",11
"('name', 'Siglap Avenue')",11
"('sport', 'running')",11
"('handrail', 'no')",11
"('turn:lanes', 'left|left;through|through')",11
"('name', 'Bedok North Avenue 3')",10
"('description', 'Pang Sua - Junction 10 Park Connector')",10
"('construction', 'residential')",10
"('turn:lanes', 'none|none|none|right')",10
"('name', 'Serangoon Park Connector')",10
"('name:zh', '实龙岗公园连道')",10
"('name', 'Hougang Avenue 6')",10
"('addr:country', 'SG')",10
"('landuse', 'residential')",10
"('ramp', 'no')",10
"('embankment', 'yes')",10
"('area', 'no')",10
"('layer', '-2')",10
"('name:zh', '商学连路')",10
"('tunnel', 'yes')",10
"('motor_vehicle', 'private')",10
"('turn:lanes', 'left|through|through;right|right')",10
"('tactile_paving', 'yes')",10
"('layer', '2')",10
"('name', 'Queensway')",10
"('name:zh', '女皇大道')",10
"('name', 'Business Link')",10
"('crossing', 'zebra')",9
"('name', 'Geylang Road')",9
"('name', 'Tampines Avenue 9')",9
"('name', 'Kaki Bukit Avenue 1')",9
"('name', 'Serangoon Garden Way')",9
"('height', '10')",9
"('name:zh', '芽笼路')",9
"('lanes:forward', '3')",9
"('turn:lanes:backward', 'right')",9
"('bridge', 'boardwalk')",9
"('cycleway', 'crossing')",9
"('construction', 'service')",9
"('destination:ref', 'PIE')",8
"('name:zh', '亚瑟爵士桥')",8
"('turn:lanes:forward', 'left|right')",8
"('man_made', 'bridge')",8
"('turn:lanes', 'through|through|through|through|right')",8
"('turn:lanes', 'left|through|right')",8
"('survey:date', '2018-06-25')",8
"('turn:lanes', 'none|through|through|through')",8
"('name', 'Belmont Road')",8
"('turn:lanes:backward', 'left|right')",8
"('source', 'Kaart Ground Survey 2017')",8
"('name', ""Sir Arthur's Bridge"")",8
"('name', 'Hemsley Avenue')",8
"('building:levels', '2')",8
"('cycleway', 'no')",8
"('turn:lanes', 'left;through|none|none')",8
"('segregated', 'yes')",8
"('image', 'http://storage8.openstreetcam.org/files/photo/2018/6/24/lth/1254851_f9fb4_2244.jpg')",7
"('amenity', 'school')",7
"('turn:lanes', 'left|through')",7
"('name', 'Napier Road')",7
"('check_date:surface', '2023-09-09')",7
"('loc_name:zh', '植物园路')",7
"('name:zh', '科学园路')",7
"('name', 'Science Park Road')",7
"('destination:ref:to', 'KJE')",7
"('crossing', 'marked')",7
"('footway:surface', 'concrete')",7
"('name:zh', '纳比雅路')",7
"('cycleway:surface', 'concrete')",7
"('tracktype', 'grade2')",7
"('turn:lanes', 'through|through|through|through;right')",7
"('surface', 'wood')",7
"('lanes', '7')",7
"('name', 'Kent Ridge Drive')",7
"('name:zh', '肯特岗通道')",7
"('crossing', 'unmarked')",7
"('turn:lanes:forward', 'left|through')",7
"('destination', 'PIE')",7
"('turn:lanes', 'left;through|none')",7
"('turn:lanes', 'none|through;right')",7
"('sidewalk', 'none')",7
"('sidewalk:left:surface', 'concrete')",6
"('name', 'Sungei Kadut Avenue')",6
"('name', 'Siglap Park Connector')",6
"('name:zh', '桥南路')",6
"('name', 'Jurong West Street 63')",6
